periods;precipitation;temperature;max_temperature;min_temperature;max_rel_humidity;min_rel_humidity;max_pressure;min_pressure;wind_gust;frost_alert;etp;radiation;wetting;
2019-08-12 06:00;0;22.199088096618652;31.012813568115234;13.38536262512207;77.1173095703125;18.35002326965332;1022.7279052734375;1014.3895874023438;5.850889682769775;0;2.919325828552246;2645.075927734375;0.2836691439151764;
2019-08-13 06:00;0;19.101192951202393;28.84966468811035;9.352721214294434;94.808837890625;27.74298667907715;1023.98291015625;1014.1495361328125;7.795431613922119;0;2.1317460536956787;2638.533203125;3.227041244506836;
2019-08-14 06:00;0;20.967886447906494;30.514711380004883;11.421061515808105;89.94841766357422;23.561079025268555;1022.6452026367188;1013.3554077148438;6.668135166168213;0;2.599644422531128;2729.52587890625;3.897304058074951;
2019-08-15 06:00;0;16.467000484466553;22.642274856567383;10.291726112365723;92.76046752929688;47.14195251464844;932.9054565429688;1021.0967407226562;7.382441997528076;0;1.5315417051315308;2760.04541015625;3.922342538833618;
2019-08-16 06:00;0;15.179626703262329;23.97918128967285;6.380072116851807;94.37052154541016;28.422269821166992;1030.22509765625;1021.1167602539062;6.952702045440674;0;1.2826365232467651;2806.93603515625;2.2482683658599854;
2019-08-17 06:00;0;14.360021352767944;24.386028289794922;4.334014415740967;95.70468139648438;28.254667282104492;1030.4036865234375;1018.6026000976562;6.466012001037598;1;1.1600492000579834;2802.326416015625;3.8668301105499268;
2019-08-18 06:00;0;16.015336275100708;24.889873504638672;7.140799045562744;91.2726821899414;29.69485092163086;1026.1568603515625;1014.326416015625;8.135809898376465;0;1.487260103225708;2798.409423828125;4.383922100067139;
2019-08-19 06:00;0;17.894737243652344;28.213951110839844;7.575523376464844;89.84203338623047;24.867151260375977;1021.8192138671875;1012.14892578125;7.4849324226379395;0;1.8811540603637695;2514.54150390625;3.8998777866363525;
2019-08-20 06:00;0.6479142904281616;18.01835346221924;26.076881408691406;9.95982551574707;93.6700668334961;37.15419006347656;1020.341796875;1012.9732666015625;7.004495620727539;0;1.8848649263381958;1933.8043212890625;2.2899372577667236;
2019-08-21 06:00;0.6551066040992737;17.77533197402954;22.221391677856445;13.329272270202637;93.60038757324219;60.23452377319336;1023.105712890625;1017.4284057617188;5.01291036605835;0;1.8277055025100708;1422.516845703125;3.9637680053710938;
2019-08-22 06:00;0;17.948108673095703;25.417024612426758;10.479192733764648;96.55947875976562;42.074886322021484;1023.82666015625;1015.7354736328125;6.4892258644104;0;1.862992286682129;2807.7900390625;5.7940897941589355;
2019-08-23 06:00;0;16.476276874542236;24.92595100402832;8.026602745056152;96.8263931274414;42.86629104614258;1024.966552734375;1016.48828125;5.807210922241211;0;1.5548239946365356;2903.781982421875;6.044647693634033;
2019-08-24 06:00;1.1028857231140137;15.394199848175049;22.488325119018555;8.300074577331543;96.2591552734375;31.82295036315918;1024.111328125;1015.9508056640625;8.132129669189453;0;1.3393479585647583;2905.3212890625;5.186225891113281;
2019-08-25 06:00;0;14.52826714515686;24.59765625;4.458878040313721;96.93548583984375;25.121809005737305;1026.0703125;1016.7178955078125;6.813030242919922;1;1.19194495677948;3116.63134765625;4.481783390045166;
2019-08-26 06:00;0;16.227352619171143;26.332801818847656;6.121903419494629;95.10000610351562;28.64632225036621;1027.61767578125;1017.5702514648438;7.093531131744385;0;1.5178107023239136;3009.8857421875;3.948603630065918;
2019-08-27 06:00;0;16.240382194519043;25.957399368286133;6.523365020751953;95.24028778076172;29.83102035522461;1027.30712890625;1017.44189453125;7.638045787811279;0;1.5322437286376953;3081.150634765625;3.4236953258514404;
2019-08-28 06:00;0;17.896305084228516;27.860029220581055;7.932580947875977;94.69127655029297;26.09327507019043;1026.10888671875;1016.9434204101562;4.795347213745117;0;1.888572096824646;3022.00634765625;2.2095322608947754;
2019-08-29 06:00;0;17.78498125076294;24.52877426147461;11.04118824005127;92.41986083984375;40.21709060668945;1024.23828125;1017.3580322265625;7.214274883270264;0;1.8691786527633667;2141.242431640625;0.6622371673583984;
2019-08-30 06:00;0;16.687116146087646;26.4606990814209;6.9135332107543945;94.991455078125;26.274831771850586;1024.11376953125;1014.0869140625;8.036900520324707;0;1.6290640830993652;3056.105712890625;3.2426905632019043;
2019-08-31 06:00;0;18.209662437438965;28.070890426635742;8.348434448242188;91.33846282958984;25.973215103149414;1022.6467895507812;1011.2064819335938;6.398212432861328;0;1.9790962934494019;2888.87890625;3.7564194202423096;
2019-09-01 06:00;0.38087043166160583;19.992488384246826;30.407480239868164;9.577496528625488;91.74525451660156;25.18703842163086;1019.9215087890625;1009.823486328125;10.969099044799805;0;2.420175790786743;2775.9580078125;2.7359707355499268;
2019-09-02 06:00;13.650269508361816;20.5440616607666;27.088254928588867;13.999868392944336;94.32976531982422;41.611473083496094;1018.617431640625;1010.478515625;12.110898971557617;0;2.5431504249572754;2804.94482421875;0.022526303306221962;
2019-09-03 06:00;9.643245697021484;20.288201808929443;25.630290985107422;14.946112632751465;93.62762451171875;56.29229736328125;1018.0556640625;1011.23388671875;10.71136474609375;0;2.470168113708496;2641.21142578125;1.7176202535629272;
2019-09-04 06:00;5.067852020263672;19.558266162872314;25.941265106201172;13.175267219543457;97.16477966308594;50.47346878051758;1019.2779541015625;1014.4258422851562;8.78138256072998;0;2.2898457050323486;2278.981689453125;7.627961158752441;
2019-09-05 06:00;3.4301822185516357;21.66865587234497;28.640474319458008;14.696837425231934;93.6295394897461;38.32961654663086;1021.3988037109375;1014.6856689453125;7.544016361236572;0;2.8732125759124756;2772.390625;4.344313144683838;
2019-09-06 06:00;1.5361218452453613;20.149721145629883;26.77683448791504;13.522607803344727;92.3741683959961;45.18940734863281;1024.334228515625;1017.2677001953125;7.409937381744385;0;2.4522886276245117;2961.89697265625;5.432680606842041;
2019-09-07 06:00;0.6178374290466309;19.658742904663086;25.989059448242188;13.328426361083984;92.949951171875;47.70134735107422;1024.907470703125;1017.3653564453125;6.349573135375977;0;2.3299777507781982;2990.77978515625;2.6528806686401367;
2019-09-08 06:00;0;20.86515188217163;28.507585525512695;13.222718238830566;92.89990234375;38.757225036621094;1024.36083984375;1016.1049194335938;7.029776096343994;0;2.6774139404296875;3032.15478515625;3.3912951946258545;
2019-09-09 06:00;0;21.922536849975586;30.848894119262695;12.996179580688477;94.90873718261719;25.835464477539062;1024.4453125;1015.2539672851562;5.403453350067139;0;2.9920783042907715;2961.4384765625;5.0566630363464355;
2019-09-10 06:00;0;20.98094129562378;29.785615921020508;12.17626667022705;95.16633605957031;23.05037498474121;1022.4447631835938;1012.811767578125;8.84916877746582;0;2.7349488735198975;3132.999267578125;4.514883995056152;
